"inst_cat","institutioncode","catalognumber","key","eventdate","latitude","longitude","name","collectioncode","source"
"mmnh_20079","mmnh","20079","2bafdf53-a6ab-4929-bdac-2d454523cad7","1962-03-17",NA,NA,"butorides virescens","bird","idigbio"
"ncsm_2973","ncsm","2973","2bc19b2c-7d38-455d-8548-f673ae22cc1a",NA,NA,NA,"butorides virescens","ncsm-birds","idigbio"
"mmnh_20050","mmnh","20050","2c0e9ea3-6c95-49ed-92e6-ade1a28e560e","1961-09-24",NA,NA,"butorides virescens","bird","idigbio"
"ncsm_5737","ncsm","5737","2cbb9927-24b3-489c-b45a-981ea273c587",NA,NA,NA,"butorides virescens","ncsm-birds","idigbio"
"ohio state university - bird division, columbus, oh (osum)_osum birds e 4319","ohio state university - bird division, columbus, oh (osum)","osum birds e 4319","2cdc002e-1c89-4536-bd5e-6f517afa4b2f",NA,"31.2504","-99.2506","butorides virescens","birds","idigbio"
"wfvz_205484","wfvz","205484","2ce342cb-9ce2-4342-b22c-1348009bbcb6","1876-04-10",NA,NA,"butorides virescens","eggs","idigbio"
"dmns_950","dmns","950","2d150098-979d-431c-8d87-870d99cee531","1880-01-01/2010-03-01",NA,NA,"butorides virescens","bird specimens","idigbio"
"tcwc_13096","tcwc","13096","2d2f784c-c30f-47ac-8482-ee90724d02ba","1991-05-09",NA,NA,"butorides virescens","birds","idigbio"
"wfvz_205505","wfvz","205505","2d34cdac-e11b-49a8-b2b9-f77504663ee5","1906-04-21",NA,NA,"butorides virescens","eggs","idigbio"
"mmnh_30382","mmnh","30382","2d50d796-9636-4966-bdb4-3e1a28ac9469","1968-05-26",NA,NA,"butorides virescens","bird","idigbio"
"hsu_1871","hsu","1871","2d59b7ae-529e-446b-92c6-c38ccef4715f","1929-05-08",NA,NA,"butorides virescens","wildlifeeggsnest","idigbio"
"omnh_10478.0","omnh","10478.0","2db589c4-c441-44c6-87f9-b004c1a20257","1969-04-16","36.71535","-95.92671","butorides virescens","birds","idigbio"
